"","countH_Pseudo_Perm","countG","countG_Perm","countGlobalAncova","countN_Perm","countN2_Perm","countGSEA_Category"
"composition:0.5 0.5 ,rho:0.1 0.9 ,probes:30,size:50,difference:0",0,0,0,0,0.055,0.058,0
"composition:0.5 0.5 ,rho:0.1 0.9 ,probes:30,size:50,difference:0.1",0,0,0,0,0.072,0.078,0
"composition:0.5 0.5 ,rho:0.1 0.9 ,probes:30,size:50,difference:0.3",0,0,0,0,0.197,0.21,0
"composition:0.5 0.5 ,rho:0.1 0.9 ,probes:30,size:50,difference:0.5",0,0,0,0,0.461,0.482,0
"composition:0.5 0.5 ,rho:0.1 0.9 ,probes:30,size:50,difference:0.7",0,0,0,0,0.756,0.769,0
"composition:0.5 0.5 ,rho:0.1 0.9 ,probes:30,size:50,difference:0.9",0,0,0,0,0.925,0.935,0
"composition:0.5 0.5 ,rho:0.1 0.9 ,probes:30,size:50,difference:1",0,0,0,0,0.965,0.97,0
"composition:0.5 0.5 ,rho:0.1 0.9 ,probes:30,size:50,difference:2",0,0,0,0,1,1,0
"composition:0.5 0.5 ,rho:0.1 0.9 ,probes:30,size:70,difference:0",0,0,0,0,0.061,0.063,0
"composition:0.5 0.5 ,rho:0.1 0.9 ,probes:30,size:70,difference:0.1",0,0,0,0,0.08,0.084,0
"composition:0.5 0.5 ,rho:0.1 0.9 ,probes:30,size:70,difference:0.3",0,0,0,0,0.269,0.275,0
"composition:0.5 0.5 ,rho:0.1 0.9 ,probes:30,size:70,difference:0.5",0,0,0,0,0.599,0.608,0
"composition:0.5 0.5 ,rho:0.1 0.9 ,probes:30,size:70,difference:0.7",0,0,0,0,0.897,0.898,0
"composition:0.5 0.5 ,rho:0.1 0.9 ,probes:30,size:70,difference:0.9",0,0,0,0,0.985,0.983,0
"composition:0.5 0.5 ,rho:0.1 0.9 ,probes:30,size:70,difference:1",0,0,0,0,0.995,0.996,0
"composition:0.5 0.5 ,rho:0.1 0.9 ,probes:30,size:70,difference:2",0,0,0,0,1,1,0
