"","countM","countH","countR","countN","countHR","countHN","countRN","count2","countHRN"
"BreastA_PI3K_Akt_CN",0.082,0.066,0.102,0.076,0.046,0.06,0.046,0.068,0.042
"BreastA_Wnt_CN",0.144,0.088,0.128,0.116,0.068,0.082,0.086,0.104,0.066
"ColorectalB_p53_CN",0.084,0.05,0.06,0.064,0.018,0.048,0.02,0.054,0.016
"ColorectalB_PI3K_Akt_CN",0.106,0.064,0.096,0.084,0.038,0.064,0.048,0.074,0.038
"ColorectalB_Ras_CN",0.126,0.066,0.128,0.094,0.044,0.062,0.062,0.084,0.042
"ColorectalB_TGF_beta_CN",0.092,0.06,0.096,0.072,0.04,0.058,0.05,0.068,0.04
"ColorectalB_Wnt_CN",0.072,0.068,0.096,0.086,0.036,0.066,0.038,0.072,0.034
"LungA_Cell_cycle_CN",0.304,0.42,0.54,0.45,0.372,0.406,0.386,0.428,0.368
"LungA_EGFR_CN",0.34,0.418,0.484,0.448,0.376,0.408,0.404,0.448,0.37
"LungA_Jak_STAT_CN",0.344,0.388,0.504,0.434,0.34,0.378,0.382,0.428,0.336
"LungA_mapk_CN",0.31,0.4,0.488,0.444,0.342,0.386,0.368,0.428,0.334
"LungA_mTOR_CN",0.238,0.356,0.424,0.398,0.294,0.338,0.33,0.394,0.284
"LungA_p53_CN",0.278,0.43,0.476,0.448,0.37,0.414,0.386,0.446,0.362
"LungA_Wnt_CN",0.224,0.382,0.45,0.378,0.33,0.35,0.33,0.382,0.314
"LungB_Cell_cycle_CN",0.644,0.53,0.674,0.598,0.498,0.526,0.55,0.578,0.498
"LungB_EGFR_CN",0.532,0.416,0.556,0.478,0.372,0.412,0.432,0.476,0.37
"LungB_Jak_STAT_CN",0.488,0.414,0.534,0.484,0.362,0.404,0.436,0.482,0.36
"LungB_mapk_CN",0.582,0.462,0.626,0.544,0.43,0.456,0.508,0.534,0.43
"LungB_mTOR_CN",0.53,0.462,0.59,0.514,0.426,0.452,0.476,0.51,0.422
"LungB_p53_CN",0.666,0.53,0.68,0.596,0.5,0.528,0.556,0.584,0.5
"LungB_Wnt_CN",0.568,0.458,0.618,0.528,0.416,0.45,0.478,0.516,0.414
"BreastA_PI3K_Akt_NC",0.166,0.104,0.172,0.124,0.086,0.1,0.098,0.112,0.086
"BreastA_Wnt_NC",0.22,0.138,0.222,0.16,0.122,0.134,0.138,0.154,0.12
"ColorectalB_p53_NC",0.088,0.056,0.082,0.068,0.032,0.052,0.038,0.062,0.03
"ColorectalB_PI3K_Akt_NC",0.104,0.088,0.154,0.104,0.062,0.08,0.072,0.094,0.06
"ColorectalB_Ras_NC",0.104,0.076,0.156,0.096,0.046,0.072,0.06,0.086,0.046
"ColorectalB_TGF_beta_NC",0.086,0.04,0.086,0.058,0.018,0.038,0.02,0.044,0.016
"ColorectalB_Wnt_NC",0.088,0.068,0.11,0.09,0.042,0.064,0.048,0.074,0.04
"LungA_Cell_cycle_NC",0.188,0.206,0.302,0.252,0.142,0.192,0.19,0.248,0.138
"LungA_EGFR_NC",0.218,0.178,0.304,0.224,0.142,0.166,0.188,0.22,0.138
"LungA_Jak_STAT_NC",0.174,0.208,0.328,0.238,0.154,0.19,0.176,0.22,0.15
"LungA_mapk_NC",0.132,0.142,0.21,0.174,0.09,0.134,0.114,0.158,0.09
"LungA_mTOR_NC",0.22,0.214,0.338,0.268,0.162,0.208,0.212,0.258,0.162
"LungA_p53_NC",0.204,0.198,0.324,0.242,0.152,0.194,0.178,0.224,0.15
"LungA_Wnt_NC",0.172,0.146,0.238,0.166,0.112,0.138,0.122,0.152,0.11
"LungB_Cell_cycle_NC",0.604,0.552,0.66,0.61,0.524,0.546,0.574,0.6,0.522
"LungB_EGFR_NC",0.646,0.612,0.728,0.666,0.578,0.602,0.624,0.66,0.572
"LungB_Jak_STAT_NC",0.608,0.562,0.69,0.61,0.542,0.56,0.58,0.602,0.54
"LungB_mapk_NC",0.64,0.578,0.71,0.626,0.538,0.572,0.584,0.626,0.534
"LungB_mTOR_NC",0.662,0.626,0.726,0.668,0.59,0.62,0.63,0.664,0.588
"LungB_p53_NC",0.658,0.612,0.69,0.668,0.568,0.606,0.61,0.656,0.564
"LungB_Wnt_NC",0.668,0.612,0.714,0.666,0.572,0.606,0.616,0.654,0.57
